RegionName,Realpage Market Share,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022,11/30/2022,12/31/2022,1/31/2023,2/28/2023,3/31/2023,4/30/2023,5/31/2023,6/30/2023,7/31/2023,8/31/2023,9/30/2023,10/31/2023,11/30/2023,12/31/2023,1/31/2024,2/29/2024,3/31/2024,4/30/2024,5/31/2024,6/30/2024,7/31/2024,8/31/2024,9/30/2024,10/31/2024,11/30/2024,12/31/2024,1/31/2025,2/28/2025
USA,,1185.809268,1193.375466,1204.629271,1213.277646,1223.337066,1231.048804,1237.927985,1242.089604,1244.648746,1244.904449,1243.985835,1242.782329,1245.376447,1250.830911,1257.774415,1266.599803,1276.084089,1285.445233,1290.705294,1293.427238,1294.226908,1292.214242,1289.649863,1286.954926,1290.031516,1296.316577,1306.508126,1315.455023,1324.666013,1331.974358,1336.515098,1337.13149,1335.209354,1331.910737,1330.051573,1330.454726,1334.196882,1341.205762,1349.990249,1359.632659,1367.905181,1376.340133,1382.6801,1386.651904,1385.244648,1382.498285,1380.888721,1380.937443,1384.731545,1390.168323,1400.078161,1409.073755,1418.776311,1427.619204,1434.745354,1438.16024,1437.054971,1433.464076,1430.090755,1429.857721,1433.873969,1441.475488,1446.560917,1441.988288,1434.223186,1429.261475,1430.264911,1426.870544,1418.394727,1409.167198,1402.029085,1401.109536,1408.039419,1420.010746,1435.319503,1454.428064,1481.069132,1512.693309,1546.167821,1576.769358,1600.928251,1614.085924,1621.306649,1628.321161,1636.93486,1649.115682,1662.587687,1681.967519,1705.084163,1729.202487,1749.606661,1758.723065,1758.961536,1749.650821,1740.193245,1733.489195,1734.1408,1740.115758,1752.364656,1762.387716,1774.383641,1781.852843,1790.304309,1793.264543,1791.713138,1787.667609,1781.124886,1776.454481,1775.959576,1782.798653,1793.328148,1806.03416,1818.694909,1829.802724,1836.719977,1837.877406,1836.238243,1830.122596,1824.9371,1819.697383,1823.520536,1831.915307
"Austin, TX",46.00,1092.68577,1101.9048,1105.169292,1103.267466,1108.371089,1118.149628,1129.572242,1135.282308,1144.594115,1149.82833,1170.500301,1175.805961,1174.400226,1153.909562,1152.994122,1158.906843,1171.436304,1175.664229,1179.077725,1182.605987,1187.116989,1189.793045,1186.362567,1190.626969,1195.704934,1208.796298,1215.199947,1216.638873,1213.431866,1210.830945,1211.043128,1210.520517,1207.400132,1205.733816,1209.504551,1212.722309,1215.204972,1223.070782,1222.007817,1226.051163,1226.176712,1236.557238,1244.489765,1250.946905,1256.706987,1262.047305,1270.916351,1273.783584,1277.654008,1280.609245,1288.302572,1293.228574,1301.922856,1303.745229,1306.174421,1310.248524,1315.833546,1321.452883,1322.294406,1326.817592,1330.897403,1331.619443,1335.175116,1326.428587,1311.791888,1294.64655,1284.250388,1276.679861,1269.645542,1268.966419,1277.344651,1287.55079,1301.381288,1315.08281,1330.719529,1352.714468,1381.974232,1418.597025,1456.726074,1499.798836,1539.05074,1565.429016,1577.054115,1588.880976,1598.165823,1611.040528,1618.839719,1632.398931,1645.840727,1660.834882,1671.765345,1670.597007,1666.717353,1658.687966,1654.43932,1649.415419,1648.497177,1645.924289,1648.637277,1640.204936,1631.457517,1616.57495,1607.554545,1599.864886,1591.552313,1587.497925,1585.788195,1583.148904,1575.639871,1567.002467,1558.167515,1552.755281,1545.737199,1540.583918,1532.388267,1527.159472,1523.973387,1521.344778,1517.32116,1513.733339,1511.795204,1510.427154
"Raleigh, NC",42.65,936.9946693,949.0555348,959.5097756,967.556583,974.4076512,980.7220242,985.3851434,982.3190768,993.1044817,1008.014413,1030.662331,1033.125519,1032.05238,1018.164543,1024.142003,1029.797572,1032.607213,1032.996567,1034.8708,1047.06481,1064.401539,1071.915507,1071.798714,1062.580929,1055.710184,1066.368082,1073.493468,1084.760621,1090.577403,1095.242962,1098.046022,1094.079049,1089.723396,1093.698884,1097.194607,1105.708498,1107.538426,1122.059621,1124.511039,1125.322859,1130.010291,1132.429911,1142.042313,1140.540462,1147.114138,1144.39623,1149.26761,1149.386118,1156.489654,1155.191317,1157.333113,1159.167908,1161.847702,1167.839897,1169.237361,1180.957601,1185.519331,1195.588449,1201.733282,1212.075634,1220.503197,1226.5139,1217.673166,1199.205228,1186.072109,1173.454747,1170.295475,1170.427312,1173.099511,1179.924754,1189.948887,1192.297404,1196.316071,1206.535931,1224.009442,1244.25141,1268.953973,1297.584752,1331.867092,1363.461713,1392.682994,1419.167952,1440.456128,1458.291728,1463.849107,1470.818464,1478.666819,1497.159391,1515.637297,1534.789892,1546.885641,1552.388415,1554.744958,1547.481667,1537.315663,1529.768005,1534.748509,1543.087107,1547.592418,1545.221847,1541.8264,1532.342319,1528.286966,1522.207055,1523.161178,1518.437596,1516.9876,1514.29545,1510.271431,1511.410714,1507.026715,1502.010484,1496.370743,1493.925136,1489.191421,1489.451496,1486.175934,1491.544949,1496.419679,1501.735258,1504.425583,1501.112159
"Dallas, TX",33.72,1029.128002,1028.45313,1032.448212,1041.804557,1048.020654,1056.808123,1060.376544,1063.565154,1068.323211,1074.804131,1082.561815,1093.440979,1094.95693,1098.435007,1100.355819,1114.761723,1120.203832,1127.553001,1127.29311,1135.466602,1142.960572,1155.484402,1161.485792,1166.159644,1170.190026,1173.673559,1183.671727,1185.914867,1196.444825,1196.990659,1200.44296,1200.707702,1202.509349,1200.003156,1203.930635,1204.642923,1214.431876,1220.308299,1222.424336,1221.854044,1220.658933,1225.049233,1230.782071,1233.593532,1233.641913,1239.244518,1243.562207,1251.397208,1251.790292,1253.36193,1255.790031,1261.048757,1264.534129,1267.835578,1270.20965,1274.284989,1279.57301,1281.239934,1281.87226,1281.206921,1281.95943,1283.497731,1285.722191,1280.834027,1272.400191,1262.429986,1256.874448,1255.348193,1258.063876,1263.679762,1268.452865,1276.036417,1283.566282,1293.890988,1302.002671,1317.343087,1336.03142,1360.036833,1385.503087,1413.112207,1438.936864,1460.243868,1480.728623,1499.033572,1513.669533,1524.347817,1532.113832,1546.34933,1562.012817,1581.519803,1593.473288,1596.484674,1594.287763,1585.804042,1581.519486,1577.367733,1579.751665,1581.798526,1587.615948,1585.244443,1581.663728,1573.485509,1570.523246,1567.555045,1566.441036,1568.326493,1568.577205,1567.472754,1565.08696,1561.366323,1558.191515,1556.122064,1553.35026,1550.874394,1547.454047,1547.319936,1548.145003,1550.074692,1551.198544,1553.311409,1553.929689,1556.230035
"Charlotte, NC",33.57,951.322868,963.3111849,965.6022708,976.4984661,985.6070185,998.5949864,1004.986698,1010.514682,1013.834394,1013.829923,1029.600434,1034.267667,1048.590397,1054.765607,1060.987494,1057.822406,1048.956724,1048.660616,1054.135183,1059.05048,1070.61069,1093.170248,1098.285935,1104.408422,1104.854735,1108.806925,1121.124523,1128.801825,1142.066842,1146.786988,1145.457438,1151.43283,1155.13436,1155.592497,1159.420774,1156.974599,1155.73861,1155.096166,1155.347603,1166.732626,1170.307955,1179.28971,1183.503664,1189.885063,1183.462022,1186.635891,1194.451871,1208.608261,1221.577814,1224.352377,1228.274312,1227.128416,1230.292709,1231.095685,1237.282857,1237.898652,1247.959317,1249.459497,1248.466317,1245.230259,1242.714521,1246.736014,1250.612508,1239.616548,1224.798825,1207.950374,1204.685559,1204.775028,1204.13326,1207.744393,1214.850823,1223.872334,1234.691906,1245.365447,1258.045045,1279.242647,1300.686555,1324.410736,1344.545593,1376.753044,1410.338427,1439.709437,1456.711983,1472.833984,1481.771654,1492.436351,1499.309814,1516.308088,1539.349493,1563.058124,1580.966588,1581.764364,1576.885631,1570.295448,1568.900854,1569.607257,1574.869027,1577.204876,1583.78624,1581.495222,1582.57964,1575.060951,1570.174635,1568.546361,1567.551319,1571.231285,1571.183803,1570.330372,1566.408387,1566.75776,1565.039176,1562.981993,1555.538337,1553.686494,1553.018706,1554.889302,1558.557337,1560.062272,1564.141238,1567.698712,1572.66759,1575.451805
"Atlanta, GA",29.14,990.5319136,1001.207699,998.276801,1009.978332,1010.588875,1021.178688,1025.343695,1029.535589,1034.690381,1043.143934,1061.77877,1069.661918,1078.06647,1077.92099,1092.016471,1094.242133,1101.907664,1105.252949,1114.881708,1123.721569,1133.963734,1144.223145,1148.44888,1149.663097,1156.407627,1165.630785,1172.726333,1180.561137,1187.62288,1194.108462,1197.979211,1201.999605,1212.793175,1217.09345,1219.908899,1221.354709,1228.036293,1235.729995,1239.917148,1246.049327,1254.101122,1260.942713,1268.089491,1274.873309,1280.644169,1292.0728,1300.787652,1308.305716,1311.822196,1314.841295,1320.021908,1325.152594,1328.08737,1332.589684,1336.705194,1340.794215,1341.421728,1340.474341,1343.045635,1347.891488,1351.317693,1353.860009,1358.157584,1350.710278,1340.186998,1333.485191,1336.036242,1337.875309,1341.982103,1347.43859,1359.799656,1373.25418,1387.189048,1399.968353,1414.236715,1437.630285,1466.384919,1501.334898,1537.449694,1577.813254,1613.05831,1642.467378,1660.726657,1673.266729,1678.139556,1681.907294,1686.833554,1695.304713,1707.449475,1718.300804,1727.869989,1729.120688,1725.415138,1716.040301,1710.859618,1708.570785,1710.731396,1712.990589,1717.956227,1715.777808,1710.723708,1701.125547,1693.035849,1687.642666,1681.850717,1681.341968,1678.792979,1677.038459,1674.395436,1674.363799,1670.879686,1668.638264,1665.378708,1664.456542,1662.498646,1661.487108,1663.922512,1665.99433,1669.49191,1672.000942,1674.461124,1675.129623
"Colorado Springs, CO",27.99,852.9822983,862.1035038,868.7391026,870.5145656,882.2624435,878.3095359,890.6873791,888.8818717,901.5162613,905.0873524,915.2459734,917.7232211,921.0242909,923.6916422,928.7820387,942.1168675,942.3090283,960.6379021,959.4347869,973.5045622,971.9504101,985.0105395,993.1354655,1000.614815,1001.663548,1007.166208,1016.50043,1026.36103,1038.637317,1047.730926,1056.033604,1061.462316,1068.169998,1069.822817,1072.529191,1083.893494,1102.186941,1112.954821,1109.817665,1105.397701,1109.089077,1110.254012,1122.199628,1124.392896,1132.954578,1137.158685,1151.242137,1153.188182,1153.664793,1152.358832,1163.914279,1174.443,1180.04234,1185.563716,1186.864378,1194.267453,1198.937686,1206.517687,1206.541419,1212.1281,1216.717034,1225.60968,1239.04815,1235.286964,1228.567448,1228.95424,1231.852651,1238.05934,1246.514224,1259.656804,1276.783621,1285.772208,1295.743118,1306.480572,1323.991095,1345.241285,1370.517255,1396.999585,1429.58805,1458.309985,1472.943834,1472.563421,1472.754763,1475.896693,1484.984553,1490.163034,1501.859114,1515.806163,1531.513894,1546.771691,1558.213431,1556.380694,1553.83803,1549.876104,1550.309365,1551.681219,1554.662828,1558.833871,1560.681554,1557.849721,1552.76117,1542.186018,1531.896699,1528.909735,1534.401601,1538.948683,1545.6012,1547.989449,1551.566654,1550.582384,1547.376637,1545.236421,1542.604478,1543.433466,1544.047814,1545.540764,1542.915028,1543.616352,1539.445504,1536.892794,1530.683651,1527.354546
"Nashville, TN",27.94,1093.492992,,1093.949237,1108.51826,1113.348581,1130.011764,1139.194398,1142.651252,1154.166429,1159.999308,1168.201822,1172.166151,1185.702655,1187.642498,1198.929381,1192.824617,1207.111737,1205.090821,1205.200144,1214.02284,1224.844053,1241.797452,1241.626251,1248.496885,1255.110551,1273.883627,1289.19752,1296.714374,1287.65975,1276.947682,1275.774187,1284.354318,1288.006991,1278.9463,1279.91901,1283.764592,1294.059062,1290.113918,1275.438013,1273.392869,1275.845657,1291.596981,1295.326759,1296.154886,1293.515406,1307.490775,1311.691805,1313.227943,1300.778856,1304.710837,1315.050559,1322.404934,1330.412408,1332.057381,1338.548388,1341.042107,1348.247368,1348.06784,1354.516016,1360.968393,1375.279427,1382.321731,1373.598978,1368.55127,1357.26105,1346.260072,1335.383808,1332.180345,1327.399104,1330.472092,1329.801908,1336.187443,1340.905493,1351.718917,1360.625145,1378.967113,1402.361333,1430.051783,1462.9336,1500.161585,1540.023863,1571.040023,1590.899654,1608.986386,1620.048804,1635.00787,1645.162389,1656.503537,1666.711978,1681.871242,1692.326839,1691.17631,1683.998403,1677.20177,1680.550732,1680.447859,1686.961827,1687.425366,1688.980107,1683.865413,1678.588359,1668.736272,1662.583501,1657.836325,1658.791864,1660.39319,1656.639267,1654.021283,1651.001848,1653.514386,1654.34877,1656.875473,1658.592668,1660.007154,1659.535487,1661.937168,1662.180062,1663.1171,1665.645894,1668.793077,1670.447426,1669.412532
"Orlando, FL",27.78,1061.38355,1070.637213,1077.601083,1080.714441,1081.892473,1077.465006,1082.53173,1092.084238,1107.689314,1124.020737,1132.346972,1137.247784,1130.902678,1130.636825,1139.909855,1152.123726,1162.756063,1167.986284,1166.93701,1171.714456,1178.045976,1185.969124,1192.136197,1197.072943,1208.505388,1209.552021,1211.592163,1208.64739,1218.725637,1231.155651,1241.965787,1239.566204,1239.271777,1242.151826,1254.235719,1266.94044,1277.563512,1294.138042,1305.795239,1313.60874,1312.533171,1309.461663,1318.132393,1330.604089,1341.062247,1342.781937,1345.264975,1338.934846,1345.261605,1345.53407,1347.19774,1354.057383,1361.432329,1370.528336,1372.201017,1376.213122,1380.103087,1388.761504,1392.771701,1403.822912,1405.263784,1410.683072,1391.805119,1379.779437,1364.75511,1350.283702,1344.40183,1338.418249,1337.966079,1339.726458,1348.30245,1354.208159,1367.227504,1381.083288,1399.474171,1419.702348,1444.927316,1483.045278,1519.482799,1568.237852,1613.883951,1656.672439,1684.731727,1703.757292,1717.451965,1729.72365,1753.334068,1780.559358,1809.188032,1826.918213,1839.726839,1839.665102,1834.449148,1829.633521,1832.08856,1836.431702,1840.755585,1845.330589,1847.759834,1843.407737,1838.677699,1827.376284,1820.36771,1812.841118,1807.866647,1807.617836,1806.143058,1809.076428,1810.547867,1812.715705,1809.158282,1807.694971,1804.246204,1807.278013,1809.147424,1814.156509,1819.83561,1822.022162,1824.157474,1823.587412,1824.397184,1824.495923
"Denver, CO",27.60,1198.861863,1219.272479,1244.214445,1261.922599,1273.642375,1284.10741,1288.440269,1288.019038,1292.359568,1304.187006,1312.739632,1322.73767,1330.681878,1340.232017,1337.799308,1332.941446,1335.937327,1343.967181,1349.309336,1357.698961,1357.27815,1356.857793,1356.078643,1362.709336,1368.467941,1371.731765,1379.368624,1386.138189,1391.947881,1393.567056,1397.910591,1399.855325,1406.366317,1409.860853,1413.822732,1417.483439,1418.529745,1425.025796,1425.742674,1430.867701,1430.511375,1438.329334,1444.719388,1453.894792,1457.627883,1461.158222,1465.412657,1470.147826,1474.934749,1479.190439,1485.461907,1489.381946,1496.479257,1498.067144,1500.036741,1500.375244,1504.185113,1509.206769,1513.319545,1515.358446,1518.768297,1520.183213,1521.240588,1507.095418,1488.475479,1472.300926,1468.232033,1468.467269,1470.261582,1470.447542,1470.865085,1472.958128,1481.731673,1491.641492,1502.0632,1519.30416,1543.76648,1575.429618,1605.676877,1636.737046,1662.835919,1678.261232,1690.793062,1701.269857,1713.303624,1722.889708,1733.923783,1750.188372,1765.198884,1776.324428,1782.282985,1780.183409,1778.57493,1781.318079,1783.615065,1788.229632,1787.012944,1793.205045,1799.608426,1802.376078,1803.476376,1801.530922,1799.642436,1800.445866,1802.397711,1810.676579,1818.844971,1824.356834,1828.7893,1829.292464,1828.338413,1825.347963,1821.837556,1819.937774,1819.525237,1819.566232,1818.390693,1811.338978,1803.798649,1796.081669,1789.947107,1782.296854
